- 2020-03-12 15:59:24.20 | took 3ms |
- 2020-03-12 15:59:24.29 | took 0ms |
- 2020-03-12 15:59:24.115 | took 1ms |
- 2020-03-12 16:40:00.357 | took 3ms |
- 2020-03-12 16:40:00.366 | took 0ms |
- 2020-03-12 16:40:00.451 | took 1ms |
- 2020-03-12 16:56:49.595 | took 3ms |
- 2020-03-12 16:56:49.604 | took 0ms |
- 2020-03-12 16:56:49.702 | took 0ms |
- 2020-03-12 16:56:56.518 | took 0ms |
- 2020-03-12 16:57:01.446 | took 0ms |
- 2020-03-12 16:58:40.423 | took 3ms |
- 2020-03-12 16:59:08.685 | took 0ms |
- 2020-03-12 16:59:08.688 | took 0ms |
- 2020-03-12 16:59:08.767 | took 1ms |
- 2020-03-12 16:59:16.487 | took 0ms |
- 2020-03-12 17:01:22.631 | took 0ms |
- 2020-03-16 14:45:08.574 | took 12ms |
- 2020-03-16 14:45:08.585 | took 0ms |
- 2020-03-16 14:45:08.687 | took 11ms |
- 2020-03-16 14:45:15.495 | took 0ms |
- 2020-03-16 14:45:22.81 | took 0ms |
- 2020-03-16 14:48:13.634 | took 3ms |
- 2020-03-16 14:48:13.644 | took 0ms |
- 2020-03-16 14:48:13.729 | took 0ms |
- 2020-03-16 14:48:22.334 | took 0ms |
- 2020-03-16 14:48:27.230 | took 0ms |
- 2020-03-16 14:59:19.95 | took 2ms |
- 2020-03-16 14:59:22.824 | took 0ms |
- 2020-03-16 14:59:25.710 | took 0ms |
- 2020-03-16 14:59:30.933 | took 0ms |
- 2020-03-16 15:00:20.438 | took 0ms |
- 2020-03-16 15:00:23.846 | took 0ms |
- 2020-03-16 15:51:46.49 | took 2ms |
- 2020-03-16 17:01:32.829 | took 3ms |
- 2020-03-16 17:01:32.836 | took 0ms |
- 2020-03-16 17:01:32.931 | took 1ms |
- 2020-03-16 17:01:39.869 | took 0ms |
- 2020-03-16 17:01:44.816 | took 0ms |
- 2020-03-16 17:03:44.166 | took 2ms |
- 2020-03-16 17:15:52.37 | took 3ms |
- 2020-03-16 17:15:52.47 | took 0ms |
- 2020-03-16 17:15:52.142 | took 1ms |
- 2020-03-16 17:15:59.26 | took 0ms |
- 2020-03-16 17:16:01.228 | took 3ms |
- 2020-03-16 17:16:03.979 | took 5ms |
- 2020-03-16 17:16:06.247 | took 1ms |
- 2020-03-16 17:16:50.178 | took 2ms |
- 2020-03-16 17:17:05.960 | took 0ms |
- 2020-03-16 17:17:10.622 | took 0ms |
- 2020-03-16 17:21:44.947 | took 3ms |
- 2020-03-16 17:21:44.957 | took 0ms |
- 2020-03-16 17:21:45.54 | took 0ms |
- 2020-03-16 17:21:52.15 | took 0ms |
- 2020-03-16 17:21:54.244 | took 5ms |
- 2020-03-16 17:21:58.738 | took 0ms |
- 2020-03-16 17:22:00.998 | took 0ms |
- 2020-03-16 17:25:03.521 | took 3ms |
- 2020-03-16 17:25:03.531 | took 0ms |
- 2020-03-16 17:25:03.626 | took 1ms |
- 2020-03-16 17:25:10.594 | took 0ms |
- 2020-03-16 17:25:12.814 | took 0ms |
- 2020-03-16 17:25:12.822 | took 0ms |
- 2020-03-16 17:25:17.242 | took 0ms |
- 2020-03-16 17:25:19.473 | took 0ms |
- 2020-03-16 17:25:19.475 | took 0ms |
- 2020-03-17 16:26:46.610 | took 4ms |
- 2020-03-17 16:26:46.620 | took 0ms |
- 2020-03-17 16:26:46.718 | took 1ms |
- 2020-03-17 16:26:53.607 | took 0ms |
- 2020-03-17 16:26:55.810 | took 4ms |
- 2020-03-17 16:26:55.841 | took 1ms |
- 2020-03-17 16:27:00.276 | took 0ms |
- 2020-03-17 16:27:02.545 | took 0ms |
- 2020-03-17 16:27:02.547 | took 0ms |
